Model	Component	Time	MinT	MaxT	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0
UVic28	GMSL	2000	0.76	8.53	0.93	2.31	3.73	6.37	9.59	12.77	15.77	18.78	21.78	24.79	27.91	31.03	34.15	37.06	39.88
UVic29	GMSL	2000	1.05	8.57	0.83	3.12	5.41	7.69	9.98	12.26	15.47	18.68	21.89	25.10	28.41	31.76	35.10	38.31	41.30
VB2020	GMSL	2000	2.25	5.42	-0.43	0.61	1.65	2.69	3.74	8.70	12.18	15.66	19.48	22.37	24.98	27.60	30.22	32.84	35.45
UVic28	GMSL	10000	0.76	8.53	1.71	5.77	12.24	16.14	20.97	25.07	28.26	31.46	34.65	37.74	39.75	41.76	43.77	46.05	48.45
UVic29	GMSL	10000	1.05	8.57	1.70	7.37	13.04	18.70	24.37	30.04	32.53	34.99	37.46	39.92	42.57	45.28	48.00	50.79	53.70
VB2020	GMSL	10000	2.25	5.42	7.21	7.86	8.52	9.17	9.83	14.89	18.55	22.55	28.49	38.98	50.77	62.56	74.36	86.15	97.94
UVic28	AIS	2000	0.76	8.53	0.35	1.44	2.64	5.01	7.85	10.59	13.12	15.65	18.18	20.69	23.03	25.38	27.72	29.87	31.95
UVic29	AIS	2000	1.05	8.57	0.21	2.17	4.14	6.10	8.06	10.02	12.46	14.91	17.35	19.80	22.10	24.34	26.59	28.77	30.84
VB2020	AIS	2000	2.25	5.42	0.21	0.41	0.62	0.82	1.04	4.58	6.00	7.58	10.43	12.67	14.75	16.83	18.90	20.98	23.06
DeConto and Pollard 2016	AIS	Inf	3.38	9.60	NaN	NaN	NaN	NaN	NaN	6.26	7.34	8.43	9.52	10.60	11.69	12.77	13.86	14.95	16.03
UVic28	AIS	10000	0.76	8.53	0.73	4.39	10.53	14.48	18.11	20.87	23.02	25.17	27.32	29.44	31.23	33.02	34.81	36.91	39.15
UVic29	AIS	10000	1.05	8.57	0.90	5.59	10.27	14.95	19.64	24.32	26.08	27.81	29.54	31.27	33.43	35.75	38.07	40.40	42.77
VB2020	AIS	10000	2.25	5.42	0.99	1.21	1.44	1.66	1.89	6.38	9.47	12.92	18.46	28.60	40.05	51.50	62.95	74.40	85.85
Garber2020-Upper	AIS	Inf	0.00	10.00	1.60	2.06	2.52	3.49	4.45	5.47	6.48	7.63	8.79	10.38	11.97	23.93	28.47	36.61	39.26
UVic28	GrIS	2000	0.76	8.53	0.10	0.16	0.21	0.26	0.42	0.72	1.10	1.48	1.85	2.24	2.77	3.29	3.81	4.28	4.73
UVic29	GrIS	2000	1.05	8.57	0.13	0.25	0.37	0.49	0.61	0.73	1.22	1.70	2.19	2.67	3.33	4.05	4.77	5.37	5.80
VB2020	GrIS	2000	2.25	5.42	-0.81	-0.14	0.53	1.20	1.88	2.95	4.55	5.99	6.55	6.84	7.05	7.27	7.48	7.69	7.91
UVic28	GrIS	10000	0.76	8.53	0.37	0.59	0.78	0.99	2.17	3.36	4.27	5.19	6.10	6.93	6.94	6.96	6.97	6.98	6.98
UVic29	GrIS	10000	1.05	8.57	0.44	1.28	2.12	2.95	3.79	4.63	5.18	5.72	6.27	6.81	6.97	6.97	6.98	6.99	6.99
VB2020	GrIS	10000	2.25	5.42	6.50	6.70	6.90	7.10	7.30	7.31	7.33	7.35	7.39	7.43	7.47	7.51	7.55	7.59	7.63
UVic28	GMTE	2000	0.76	8.53	0.38	0.56	0.71	0.90	1.09	1.22	1.31	1.39	1.47	1.57	1.82	2.06	2.31	2.59	2.89
UVic29	GMTE	2000	1.05	8.57	0.35	0.53	0.71	0.90	1.08	1.26	1.52	1.79	2.06	2.33	2.68	3.05	3.43	3.85	4.33
VB2020	GMTE	2000	2.25	5.42	-0.07	0.11	0.29	0.47	0.65	1.04	1.55	2.05	2.49	2.85	3.18	3.52	3.85	4.18	4.52
UVic28	GMTE	10000	0.76	8.53	0.50	0.65	0.76	0.47	0.48	0.60	0.72	0.84	0.95	1.08	1.28	1.48	1.68	1.84	2.00
UVic29	GMTE	10000	1.05	8.57	0.22	0.34	0.46	0.59	0.71	0.83	1.01	1.19	1.37	1.56	1.88	2.25	2.63	3.07	3.61
VB2020	GMTE	10000	2.25	5.42	-0.30	-0.06	0.18	0.41	0.65	1.20	1.76	2.29	2.65	2.96	3.26	3.56	3.86	4.16	4.46
UVic28	GIC	2000	0.76	8.53	0.10	0.15	0.17	0.20	0.22	0.24	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.32
UVic29	GIC	2000	1.05	8.57	0.14	0.16	0.19	0.21	0.23	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.33	0.33
VB2020	GIC	2000	2.25	5.42	0.22	0.23	0.23	0.23	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
UVic28	GIC	10000	0.76	8.53	0.10	0.15	0.17	0.20	0.22	0.24	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.32
UVic29	GIC	10000	1.05	8.57	0.14	0.16	0.19	0.21	0.23	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.33	0.33
VB2020	GIC	10000	2.25	5.42	0.23	0.23	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
